 Number on x ; Number on y ;   geolon  ;  geolat    ;  cos of rot;  sin of rot
   114;     1;    33.175000;    40.940000;     1.000000;    -0.000000
   115;     1;    33.225000;    40.940000;     1.000000;    -0.000000
   116;     1;    33.275000;    40.940000;     1.000000;    -0.000000
   117;     1;    33.325000;    40.940000;     1.000000;    -0.000000
   118;     1;    33.375000;    40.940000;     1.000000;    -0.000000
   119;     1;    33.425000;    40.940000;     1.000000;    -0.000000
   120;     1;    33.475000;    40.940000;     1.000000;    -0.000000
   121;     1;    33.525000;    40.940000;     1.000000;    -0.000000
   122;     1;    33.575000;    40.940000;     1.000000;    -0.000000
   123;     1;    33.625000;    40.940000;     1.000000;    -0.000000
   124;     1;    33.675000;    40.940000;     1.000000;    -0.000000
   125;     1;    33.725000;    40.940000;     1.000000;    -0.000000
   126;     1;    33.775000;    40.940000;     1.000000;    -0.000000
   127;     1;    33.825000;    40.940000;     1.000000;    -0.000000
   128;     1;    33.875000;    40.940000;     1.000000;    -0.000000
   129;     1;    33.925000;    40.940000;     1.000000;    -0.000000
   130;     1;    33.975000;    40.940000;     1.000000;    -0.000000
   131;     1;    34.025000;    40.940000;     1.000000;    -0.000000
   132;     1;    34.075000;    40.940000;     1.000000;    -0.000000
   133;     1;    34.125000;    40.940000;     1.000000;    -0.000000
   134;     1;    34.175000;    40.940000;     1.000000;    -0.000000
   135;     1;    34.225000;    40.940000;     1.000000;    -0.000000
   136;     1;    34.275000;    40.940000;     1.000000;    -0.000000
   137;     1;    34.325000;    40.940000;     1.000000;    -0.000000
   138;     1;    34.375000;    40.940000;     1.000000;    -0.000000
   139;     1;    34.425000;    40.940000;     1.000000;    -0.000000
   140;     1;    34.475000;    40.940000;     1.000000;    -0.000000
   141;     1;    34.525000;    40.940000;     1.000000;    -0.000000
   142;     1;    34.575000;    40.940000;     1.000000;    -0.000000
   143;     1;    34.625000;    40.940000;     1.000000;    -0.000000
   144;     1;    34.675000;    40.940000;     1.000000;    -0.000000
   145;     1;    34.725000;    40.940000;     1.000000;    -0.000000
   146;     1;    34.775000;    40.940000;     1.000000;    -0.000000
   147;     1;    34.825000;    40.940000;     1.000000;    -0.000000
   148;     1;    34.875000;    40.940000;     1.000000;    -0.000000
   149;     1;    34.925000;    40.940000;     1.000000;    -0.000000
   150;     1;    34.975000;    40.940000;     1.000000;    -0.000000
   151;     1;    35.025000;    40.940000;     1.000000;    -0.000000
   152;     1;    35.075000;    40.940000;     1.000000;    -0.000000
   153;     1;    35.125000;    40.940000;     1.000000;    -0.000000
   154;     1;    35.175000;    40.940000;     1.000000;    -0.000000
   155;     1;    35.225000;    40.940000;     1.000000;    -0.000000
   156;     1;    35.275000;    40.940000;     1.000000;    -0.000000
   157;     1;    35.325000;    40.940000;     1.000000;    -0.000000
   158;     1;    35.375000;    40.940000;     1.000000;    -0.000000
   159;     1;    35.425000;    40.940000;     1.000000;    -0.000000
   160;     1;    35.475000;    40.940000;     1.000000;    -0.000000
   161;     1;    35.525000;    40.940000;     1.000000;    -0.000000
   162;     1;    35.575000;    40.940000;     1.000000;    -0.000000
   163;     1;    35.625000;    40.940000;     1.000000;    -0.000000
   164;     1;    35.675000;    40.940000;     1.000000;    -0.000000
   165;     1;    35.725000;    40.940000;     1.000000;    -0.000000
   166;     1;    35.775000;    40.940000;     1.000000;    -0.000000
   167;     1;    35.825000;    40.940000;     1.000000;    -0.000000
   168;     1;    35.875000;    40.940000;     1.000000;    -0.000000
   169;     1;    35.925000;    40.940000;     1.000000;    -0.000000
   170;     1;    35.975000;    40.940000;     1.000000;    -0.000000
   171;     1;    36.025000;    40.940000;     1.000000;    -0.000000
   172;     1;    36.075000;    40.940000;     1.000000;    -0.000000
   173;     1;    36.125000;    40.940000;     1.000000;    -0.000000
   174;     1;    36.175000;    40.940000;     1.000000;    -0.000000
   175;     1;    36.225000;    40.940000;     1.000000;    -0.000000
   176;     1;    36.275000;    40.940000;     1.000000;    -0.000000
   177;     1;    36.325000;    40.940000;     1.000000;    -0.000000
   178;     1;    36.375000;    40.940000;     1.000000;    -0.000000
   179;     1;    36.425000;    40.940000;     1.000000;    -0.000000
   180;     1;    36.475000;    40.940000;     1.000000;    -0.000000
   181;     1;    36.525000;    40.940000;     1.000000;    -0.000000
   182;     1;    36.575000;    40.940000;     1.000000;    -0.000000
   183;     1;    36.625000;    40.940000;     1.000000;    -0.000000
   184;     1;    36.675000;    40.940000;     1.000000;    -0.000000
   185;     1;    36.725000;    40.940000;     1.000000;    -0.000000
   186;     1;    36.775000;    40.940000;     1.000000;    -0.000000
   187;     1;    36.825000;    40.940000;     1.000000;    -0.000000
   188;     1;    36.875000;    40.940000;     1.000000;    -0.000000
   189;     1;    36.925000;    40.940000;     1.000000;    -0.000000
   190;     1;    36.975000;    40.940000;     1.000000;    -0.000000
   191;     1;    37.025000;    40.940000;     1.000000;    -0.000000
   192;     1;    37.075000;    40.940000;     1.000000;    -0.000000
   193;     1;    37.125000;    40.940000;     1.000000;    -0.000000
   194;     1;    37.175000;    40.940000;     1.000000;    -0.000000
   195;     1;    37.225000;    40.940000;     1.000000;    -0.000000
   196;     1;    37.275000;    40.940000;     1.000000;    -0.000000
   197;     1;    37.325000;    40.940000;     1.000000;    -0.000000
   198;     1;    37.375000;    40.940000;     1.000000;    -0.000000
   199;     1;    37.425000;    40.940000;     1.000000;    -0.000000
   200;     1;    37.475000;    40.940000;     1.000000;    -0.000000
   201;     1;    37.525000;    40.940000;     1.000000;    -0.000000
   202;     1;    37.575000;    40.940000;     1.000000;    -0.000000
   203;     1;    37.625000;    40.940000;     1.000000;    -0.000000
   204;     1;    37.675000;    40.940000;     1.000000;    -0.000000
   205;     1;    37.725000;    40.940000;     1.000000;    -0.000000
   206;     1;    37.775000;    40.940000;     1.000000;    -0.000000
   207;     1;    37.825000;    40.940000;     1.000000;    -0.000000
   208;     1;    37.875000;    40.940000;     1.000000;    -0.000000
   209;     1;    37.925000;    40.940000;     1.000000;    -0.000000
   210;     1;    37.975000;    40.940000;     1.000000;    -0.000000
   211;     1;    38.025000;    40.940000;     1.000000;    -0.000000
   212;     1;    38.075000;    40.940000;     1.000000;    -0.000000
   213;     1;    38.125000;    40.940000;     1.000000;    -0.000000
   214;     1;    38.175000;    40.940000;     1.000000;    -0.000000
   215;     1;    38.225000;    40.940000;     1.000000;    -0.000000
   216;     1;    38.275000;    40.940000;     1.000000;    -0.000000
   217;     1;    38.325000;    40.940000;     1.000000;    -0.000000
   218;     1;    38.375000;    40.940000;     1.000000;    -0.000000
   219;     1;    38.425000;    40.940000;     1.000000;    -0.000000
   220;     1;    38.475000;    40.940000;     1.000000;    -0.000000
   221;     1;    38.525000;    40.940000;     1.000000;    -0.000000
   222;     1;    38.575000;    40.940000;     1.000000;    -0.000000
   223;     1;    38.625000;    40.940000;     1.000000;    -0.000000
   224;     1;    38.675000;    40.940000;     1.000000;    -0.000000
   225;     1;    38.725000;    40.940000;     1.000000;    -0.000000
   226;     1;    38.775000;    40.940000;     1.000000;    -0.000000
   227;     1;    38.825000;    40.940000;     1.000000;    -0.000000
   228;     1;    38.875000;    40.940000;     1.000000;    -0.000000
   229;     1;    38.925000;    40.940000;     1.000000;    -0.000000
   230;     1;    38.975000;    40.940000;     1.000000;    -0.000000
   231;     1;    39.025000;    40.940000;     1.000000;    -0.000000
   232;     1;    39.075000;    40.940000;     1.000000;    -0.000000
   233;     1;    39.125000;    40.940000;     1.000000;    -0.000000
   234;     1;    39.175000;    40.940000;     1.000000;    -0.000000
   235;     1;    39.225000;    40.940000;     1.000000;    -0.000000
   236;     1;    39.275000;    40.940000;     1.000000;    -0.000000
   237;     1;    39.325000;    40.940000;     1.000000;    -0.000000
   238;     1;    39.375000;    40.940000;     1.000000;    -0.000000
   239;     1;    39.425000;    40.940000;     1.000000;    -0.000000
   240;     1;    39.475000;    40.940000;     1.000000;    -0.000000
   241;     1;    39.525000;    40.940000;     1.000000;    -0.000000
   242;     1;    39.575000;    40.940000;     1.000000;    -0.000000
   243;     1;    39.625000;    40.940000;     1.000000;    -0.000000
   244;     1;    39.675000;    40.940000;     1.000000;    -0.000000
   245;     1;    39.725000;    40.940000;     1.000000;    -0.000000
   246;     1;    39.775000;    40.940000;     1.000000;    -0.000000
   247;     1;    39.825000;    40.940000;     1.000000;    -0.000000
   248;     1;    39.875000;    40.940000;     1.000000;    -0.000000
   249;     1;    39.925000;    40.940000;     1.000000;    -0.000000
   250;     1;    39.975000;    40.940000;     1.000000;    -0.000000
   251;     1;    40.025000;    40.940000;     1.000000;    -0.000000
   252;     1;    40.075000;    40.940000;     1.000000;    -0.000000
   253;     1;    40.125000;    40.940000;     1.000000;    -0.000000
   254;     1;    40.175000;    40.940000;     1.000000;    -0.000000
   255;     1;    40.225000;    40.940000;     1.000000;    -0.000000
   256;     1;    40.275000;    40.940000;     1.000000;    -0.000000
   257;     1;    40.325000;    40.940000;     1.000000;    -0.000000
   258;     1;    40.375000;    40.940000;     1.000000;    -0.000000
   259;     1;    40.425000;    40.940000;     1.000000;    -0.000000
   260;     1;    40.475000;    40.940000;     1.000000;    -0.000000
   261;     1;    40.525000;    40.940000;     1.000000;    -0.000000
   262;     1;    40.575000;    40.940000;     1.000000;    -0.000000
   263;     1;    40.625000;    40.940000;     1.000000;    -0.000000
   264;     1;    40.675000;    40.940000;     1.000000;    -0.000000
   265;     1;    40.725000;    40.940000;     1.000000;    -0.000000
   266;     1;    40.775000;    40.940000;     1.000000;    -0.000000
   267;     1;    40.825000;    40.940000;     1.000000;    -0.000000
   268;     1;    40.875000;    40.940000;     1.000000;    -0.000000
   269;     1;    40.925000;    40.940000;     1.000000;    -0.000000
   270;     1;    40.975000;    40.940000;     1.000000;    -0.000000
   271;     1;    41.025000;    40.940000;     1.000000;    -0.000000
   272;     1;    41.075000;    40.940000;     1.000000;    -0.000000
   273;     1;    41.125000;    40.940000;     1.000000;    -0.000000
   274;     1;    41.175000;    40.940000;     1.000000;    -0.000000
   275;     1;    41.225000;    40.940000;     1.000000;    -0.000000
   276;     1;    41.275000;    40.940000;     1.000000;    -0.000000
   277;     1;    41.325000;    40.940000;     1.000000;    -0.000000
   278;     1;    41.375000;    40.940000;     1.000000;    -0.000000
   279;     1;    41.425000;    40.940000;     1.000000;    -0.000000
   280;     1;    41.475000;    40.940000;     1.000000;    -0.000000
   281;     1;    41.525000;    40.940000;     1.000000;    -0.000000
   282;     1;    41.575000;    40.940000;     1.000000;    -0.000000
   283;     1;    41.625000;    40.940000;     1.000000;    -0.000000
   284;     1;    41.675000;    40.940000;     1.000000;    -0.000000
   285;     1;    41.725000;    40.940000;     1.000000;    -0.000000
     1;     2;    27.525000;    40.980000;     1.000000;    -0.000000
     2;     2;    27.575000;    40.980000;     1.000000;    -0.000000
     3;     2;    27.625000;    40.980000;     1.000000;    -0.000000
     4;     2;    27.675000;    40.980000;     1.000000;    -0.000000
     5;     2;    27.725000;    40.980000;     1.000000;    -0.000000
     6;     2;    27.775000;    40.980000;     1.000000;    -0.000000
     7;     2;    27.825000;    40.980000;     1.000000;    -0.000000
     8;     2;    27.875000;    40.980000;     1.000000;    -0.000000
     9;     2;    27.925000;    40.980000;     1.000000;    -0.000000
    10;     2;    27.975000;    40.980000;     1.000000;    -0.000000
    11;     2;    28.025000;    40.980000;     1.000000;    -0.000000
    12;     2;    28.075000;    40.980000;     1.000000;    -0.000000
    13;     2;    28.125000;    40.980000;     1.000000;    -0.000000
    14;     2;    28.175000;    40.980000;     1.000000;    -0.000000
    15;     2;    28.225000;    40.980000;     1.000000;    -0.000000
    16;     2;    28.275000;    40.980000;     1.000000;    -0.000000
    17;     2;    28.325000;    40.980000;     1.000000;    -0.000000
    18;     2;    28.375000;    40.980000;     1.000000;    -0.000000
    19;     2;    28.425000;    40.980000;     1.000000;    -0.000000
    20;     2;    28.475000;    40.980000;     1.000000;    -0.000000
    21;     2;    28.525000;    40.980000;     1.000000;    -0.000000
    22;     2;    28.575000;    40.980000;     1.000000;    -0.000000
    23;     2;    28.625000;    40.980000;     1.000000;    -0.000000
    24;     2;    28.675000;    40.980000;     1.000000;    -0.000000
    25;     2;    28.725000;    40.980000;     1.000000;    -0.000000
    26;     2;    28.775000;    40.980000;     1.000000;    -0.000000
    27;     2;    28.825000;    40.980000;     1.000000;    -0.000000
    28;     2;    28.875000;    40.980000;     1.000000;    -0.000000
    29;     2;    28.925000;    40.980000;     1.000000;    -0.000000
    30;     2;    28.975000;    40.980000;     1.000000;    -0.000000
    31;     2;    29.025000;    40.980000;     1.000000;    -0.000000
    32;     2;    29.075000;    40.980000;     1.000000;    -0.000000
    33;     2;    29.125000;    40.980000;     1.000000;    -0.000000
    34;     2;    29.175000;    40.980000;     1.000000;    -0.000000
    35;     2;    29.225000;    40.980000;     1.000000;    -0.000000
    36;     2;    29.275000;    40.980000;     1.000000;    -0.000000
    37;     2;    29.325000;    40.980000;     1.000000;    -0.000000
    38;     2;    29.375000;    40.980000;     1.000000;    -0.000000
    39;     2;    29.425000;    40.980000;     1.000000;    -0.000000
    40;     2;    29.475000;    40.980000;     1.000000;    -0.000000
    41;     2;    29.525000;    40.980000;     1.000000;    -0.000000
    42;     2;    29.575000;    40.980000;     1.000000;    -0.000000
    43;     2;    29.625000;    40.980000;     1.000000;    -0.000000
    44;     2;    29.675000;    40.980000;     1.000000;    -0.000000
    45;     2;    29.725000;    40.980000;     1.000000;    -0.000000
    46;     2;    29.775000;    40.980000;     1.000000;    -0.000000
    47;     2;    29.825000;    40.980000;     1.000000;    -0.000000
    48;     2;    29.875000;    40.980000;     1.000000;    -0.000000
    49;     2;    29.925000;    40.980000;     1.000000;    -0.000000
    50;     2;    29.975000;    40.980000;     1.000000;    -0.000000
    51;     2;    30.025000;    40.980000;     1.000000;    -0.000000
    52;     2;    30.075000;    40.980000;     1.000000;    -0.000000
    53;     2;    30.125000;    40.980000;     1.000000;    -0.000000
    54;     2;    30.175000;    40.980000;     1.000000;    -0.000000
    55;     2;    30.225000;    40.980000;     1.000000;    -0.000000
    56;     2;    30.275000;    40.980000;     1.000000;    -0.000000
    57;     2;    30.325000;    40.980000;     1.000000;    -0.000000
    58;     2;    30.375000;    40.980000;     1.000000;    -0.000000
    59;     2;    30.425000;    40.980000;     1.000000;    -0.000000
    60;     2;    30.475000;    40.980000;     1.000000;    -0.000000
    61;     2;    30.525000;    40.980000;     1.000000;    -0.000000
    62;     2;    30.575000;    40.980000;     1.000000;    -0.000000
    63;     2;    30.625000;    40.980000;     1.000000;    -0.000000
    64;     2;    30.675000;    40.980000;     1.000000;    -0.000000
    65;     2;    30.725000;    40.980000;     1.000000;    -0.000000
    66;     2;    30.775000;    40.980000;     1.000000;    -0.000000
    67;     2;    30.825000;    40.980000;     1.000000;    -0.000000
    68;     2;    30.875000;    40.980000;     1.000000;    -0.000000
    69;     2;    30.925000;    40.980000;     1.000000;    -0.000000
    70;     2;    30.975000;    40.980000;     1.000000;    -0.000000
    71;     2;    31.025000;    40.980000;     1.000000;    -0.000000
    72;     2;    31.075000;    40.980000;     1.000000;    -0.000000
    73;     2;    31.125000;    40.980000;     1.000000;    -0.000000
    74;     2;    31.175000;    40.980000;     1.000000;    -0.000000
    75;     2;    31.225000;    40.980000;     1.000000;    -0.000000
    76;     2;    31.275000;    40.980000;     1.000000;    -0.000000
    77;     2;    31.325000;    40.980000;     1.000000;    -0.000000
    78;     2;    31.375000;    40.980000;     1.000000;    -0.000000
    79;     2;    31.425000;    40.980000;     1.000000;    -0.000000
    80;     2;    31.475000;    40.980000;     1.000000;    -0.000000
    81;     2;    31.525000;    40.980000;     1.000000;    -0.000000
    82;     2;    31.575000;    40.980000;     1.000000;    -0.000000
    83;     2;    31.625000;    40.980000;     1.000000;    -0.000000
    84;     2;    31.675000;    40.980000;     1.000000;    -0.000000
    85;     2;    31.725000;    40.980000;     1.000000;    -0.000000
    86;     2;    31.775000;    40.980000;     1.000000;    -0.000000
    87;     2;    31.825000;    40.980000;     1.000000;    -0.000000
    88;     2;    31.875000;    40.980000;     1.000000;    -0.000000
    89;     2;    31.925000;    40.980000;     1.000000;    -0.000000
    90;     2;    31.975000;    40.980000;     1.000000;    -0.000000
    91;     2;    32.025000;    40.980000;     1.000000;    -0.000000
    92;     2;    32.075000;    40.980000;     1.000000;    -0.000000
    93;     2;    32.125000;    40.980000;     1.000000;    -0.000000
    94;     2;    32.175000;    40.980000;     1.000000;    -0.000000
    95;     2;    32.225000;    40.980000;     1.000000;    -0.000000
    96;     2;    32.275000;    40.980000;     1.000000;    -0.000000
    97;     2;    32.325000;    40.980000;     1.000000;    -0.000000
    98;     2;    32.375000;    40.980000;     1.000000;    -0.000000
    99;     2;    32.425000;    40.980000;     1.000000;    -0.000000
   100;     2;    32.475000;    40.980000;     1.000000;    -0.000000
   101;     2;    32.525000;    40.980000;     1.000000;    -0.000000
   102;     2;    32.575000;    40.980000;     1.000000;    -0.000000
   103;     2;    32.625000;    40.980000;     1.000000;    -0.000000
   104;     2;    32.675000;    40.980000;     1.000000;    -0.000000
   105;     2;    32.725000;    40.980000;     1.000000;    -0.000000
   106;     2;    32.775000;    40.980000;     1.000000;    -0.000000
   107;     2;    32.825000;    40.980000;     1.000000;    -0.000000
   108;     2;    32.875000;    40.980000;     1.000000;    -0.000000
   109;     2;    32.925000;    40.980000;     1.000000;    -0.000000
   110;     2;    32.975000;    40.980000;     1.000000;    -0.000000
   111;     2;    33.025000;    40.980000;     1.000000;    -0.000000
   112;     2;    33.075000;    40.980000;     1.000000;    -0.000000
   113;     2;    33.125000;    40.980000;     1.000000;    -0.000000
   114;     2;    33.175000;    40.980000;     1.000000;    -0.000000
   115;     2;    33.225000;    40.980000;     1.000000;    -0.000000
   116;     2;    33.275000;    40.980000;     1.000000;    -0.000000
   117;     2;    33.325000;    40.980000;     1.000000;    -0.000000
   118;     2;    33.375000;    40.980000;     1.000000;    -0.000000
   119;     2;    33.425000;    40.980000;     1.000000;    -0.000000
   120;     2;    33.475000;    40.980000;     1.000000;    -0.000000
   121;     2;    33.525000;    40.980000;     1.000000;    -0.000000
   122;     2;    33.575000;    40.980000;     1.000000;    -0.000000
   123;     2;    33.625000;    40.980000;     1.000000;    -0.000000
   124;     2;    33.675000;    40.980000;     1.000000;    -0.000000
   125;     2;    33.725000;    40.980000;     1.000000;    -0.000000
   126;     2;    33.775000;    40.980000;     1.000000;    -0.000000
   127;     2;    33.825000;    40.980000;     1.000000;    -0.000000
   128;     2;    33.875000;    40.980000;     1.000000;    -0.000000
   129;     2;    33.925000;    40.980000;     1.000000;    -0.000000
   130;     2;    33.975000;    40.980000;     1.000000;    -0.000000
   131;     2;    34.025000;    40.980000;     1.000000;    -0.000000
   132;     2;    34.075000;    40.980000;     1.000000;    -0.000000
   133;     2;    34.125000;    40.980000;     1.000000;    -0.000000
   134;     2;    34.175000;    40.980000;     1.000000;    -0.000000
   135;     2;    34.225000;    40.980000;     1.000000;    -0.000000
   136;     2;    34.275000;    40.980000;     1.000000;    -0.000000
   137;     2;    34.325000;    40.980000;     1.000000;    -0.000000
   138;     2;    34.375000;    40.980000;     1.000000;    -0.000000
   139;     2;    34.425000;    40.980000;     1.000000;    -0.000000
   140;     2;    34.475000;    40.980000;     1.000000;    -0.000000
   141;     2;    34.525000;    40.980000;     1.000000;    -0.000000
   142;     2;    34.575000;    40.980000;     1.000000;    -0.000000
   143;     2;    34.625000;    40.980000;     1.000000;    -0.000000
   144;     2;    34.675000;    40.980000;     1.000000;    -0.000000
   145;     2;    34.725000;    40.980000;     1.000000;    -0.000000
   146;     2;    34.775000;    40.980000;     1.000000;    -0.000000
   147;     2;    34.825000;    40.980000;     1.000000;    -0.000000
   148;     2;    34.875000;    40.980000;     1.000000;    -0.000000
   149;     2;    34.925000;    40.980000;     1.000000;    -0.000000
   150;     2;    34.975000;    40.980000;     1.000000;    -0.000000
   151;     2;    35.025000;    40.980000;     1.000000;    -0.000000
   152;     2;    35.075000;    40.980000;     1.000000;    -0.000000
   153;     2;    35.125000;    40.980000;     1.000000;    -0.000000
   154;     2;    35.175000;    40.980000;     1.000000;    -0.000000
   155;     2;    35.225000;    40.980000;     1.000000;    -0.000000
   156;     2;    35.275000;    40.980000;     1.000000;    -0.000000
   157;     2;    35.325000;    40.980000;     1.000000;    -0.000000
   158;     2;    35.375000;    40.980000;     1.000000;    -0.000000
   159;     2;    35.425000;    40.980000;     1.000000;    -0.000000
   160;     2;    35.475000;    40.980000;     1.000000;    -0.000000
   161;     2;    35.525000;    40.980000;     1.000000;    -0.000000
   162;     2;    35.575000;    40.980000;     1.000000;    -0.000000
   163;     2;    35.625000;    40.980000;     1.000000;    -0.000000
